UF;CO_MUNICIPIO;NO_MUNICIPIO;IFDM_2006;IFDM_2007;IFDM_2008;IFDM_2009;IFDM_2010;
PA;1502954;Eldorado dos Carajás;0,415905618;0,413336325;0,593981572;0,497586583;0,4740136806;
PA;1503002;Faro;0,57421778;0,472902043;0,723844826;0,522813579;0,6525645435;
PA;1503044;Floresta do Araguaia;0,438678042;0,515562442;0,533224905;0,588942791;0,5935561095;
PA;1503077;Garrafão do Norte;0,413009283;0,477549939;0,708203251;0,507768333;0,5235426399;
PA;1503093;Goianésia do Pará;0,497269325;0,554845141;0,811345725;0,638556414;0,6440208186;
PA;1503101;Gurupá;0,378810907;0,413547534;0,488214649;0,517022473;0,5140593028;
PA;1503200;Igarapé-Açu;0,551685668;0,51781159;0,501372693;0,576555613;0,6178894986;
PA;1503309;Igarapé-Miri;0,532444752;0,567219521;0,587753739;0,611032339;0,5756274178;
PA;1503408;Inhangapi;0,523599554;0,54924636;0,497952047;0,60275084;0,6088011904;
PA;1503457;Ipixuna do Pará;0,459749281;0,480052725;0,552829021;0,548164169;0,5423416868;
PA;1503507;Irituia;0,507060084;0,526350384;0,731129989;0,547720573;0,5597956188;
PA;1503606;Itaituba;0,501152446;0,571615699;0,681698191;0,573356296;0,608033364;
PA;1503705;Itupiranga;0,381963839;0,425671768;0,45756062;0,458859334;0,4026404652;
PA;1503754;Jacareacanga;0,419125802;0,431200801;0,450775723;0,421587679;0,4806264137;
PA;1503804;Jacundá;0,51819964;0,534459149;0,55583097;0,559944838;0,5691975088;
PA;1503903;Juruti;0,551070058;0,590879176;0,629638391;0,66394037;0,6577284644;
PA;1504000;Limoeiro do Ajuru;0,558424362;0,520283857;0,559528074;0,577070743;0,5692331926;
PA;1504059;Mãe do Rio;0,647406289;0,696180483;0,663780854;0,682229121;0,692057328;
PA;1504109;Magalhães Barata;0,649432707;0,558767708;0,675491194;0,605097801;0,6391255724;
PA;1504208;Marabá;0,523050485;0,577266019;0,595392676;0,629659683;0,6130802522;
PA;1504307;Maracanã;0,524585744;0,578583456;0,568732318;0,592645418;0,6172223594;
PA;1504406;Marapanim;0,426965294;0,499653296;0,548390613;0,570307039;0,5596132368;
PA;1504422;Marituba;0,603917868;0,62718933;0,601216315;0,652887532;0,650674844;
PA;1504455;Medicilândia;0,403517941;0,514030928;0,557681131;0,584466216;0,5680917118;
PA;1504505;Melgaço;0,358664128;0,438348048;0,463667392;0,507108372;0,498783631;
PA;1504604;Mocajuba;0,536786769;0,626141961;0,655308705;0,697801102;0,6564675942;
PA;1504703;Moju;0,401131605;0,446493262;0,46113178;0,510469391;0,5213716311;
PA;1504752;Mojuí dos Campos;;;;;;
PA;1504802;Monte Alegre;0,496446334;0,568439103;0,607156585;0,617399135;0,6562773375;
PA;1504901;Muaná;0,394579919;0,415758748;0,434553737;0,448045431;0,4369966737;
PA;1504950;Nova Esperança do Piriá;0,346826468;0,35607178;0,405362097;0,481899391;0,4935251218;
PA;1504976;Nova Ipixuna;0,426851123;0,492087123;0,482791522;0,506992245;0,5084175425;
PA;1505007;Nova Timboteua;0,622113631;0,577939892;0,577285872;0,547690527;0,573747967;
PA;1505031;Novo Progresso;0,578446564;0,609908698;0,701381524;0,717640164;0,6219644989;
PA;1505064;Novo Repartimento;0,442006199;0,453275823;0,466063341;0,484282386;0,4883184248;
PA;1505106;Óbidos;0,560831603;0,597891293;0,610310559;0,638066825;0,6331626031;
PA;1505205;Oeiras do Pará;0,448346945;0,474006683;0,510077519;0,519055384;0,5153820249;
PA;1505304;Oriximiná;0,572189591;0,592279919;0,608504618;0,644019577;0,6081011148;
PA;1505403;Ourém;0,610159408;0,575289563;0,64521531;0,674913861;0,653723411;
PA;1505437;Ourilândia do Norte;0,506526138;0,567689011;0,622289705;0,708935757;0,6458749927;
PA;1505486;Pacajá;0,435961208;0,433717218;0,40276368;0,42602345;0,4188737369;
PA;1505494;Palestina do Pará;0,478870216;0,512180903;0,522556643;0,547082358;0,5601914345;
PA;1505502;Paragominas;0,600358277;0,639268536;0,652861804;0,703870712;0,7007179111;
PA;1505536;Parauapebas;0,635452849;0,694087348;0,648568395;0,695461733;0,6943017906;
PA;1505551;Pau D'Arco;0,401754682;0,459217002;0,539417625;0,549574958;0,6431190087;
PA;1505601;Peixe-Boi;0,594465293;0,649324867;0,614894295;0,576390366;0,5740742817;
PA;1505635;Piçarra;0,392870105;0,455019477;0,523595771;0,513267006;0,5030233391;
PA;1505650;Placas;0,376379906;0,417797197;0,463609935;0,475855154;0,4711591327;
PA;1505700;Ponta de Pedras;0,522086624;0,49860183;0,51326535;0,577893304;0,565917052;
PA;1505809;Portel;0,411709004;0,430619782;0,42849299;0,463779329;0,4738165966;
PA;1505908;Porto de Moz;0,443863914;0,482539559;0,492616929;0,503031642;0,4790514739;
PA;1506005;Prainha;0,437578537;0,499450166;0,537530027;0,532812749;0,5003132882;
PA;1506104;Primavera;0,520474188;0,540944803;0,583484933;0,576188566;0,5833034112;
PA;1506112;Quatipuru;0,604264093;0,557720985;0,589771148;0,60703559;0,5793094228;
PA;1506138;Redenção;0,590545321;0,626329329;0,693952888;0,664021149;0,6696535992;
PA;1506161;Rio Maria;0,610088159;0,631789672;0,582101979;0,62243191;0,6157484643;
PA;1506187;Rondon do Pará;0,573822357;0,645350172;0,662915254;0,670525348;0,6519181076;
PA;1506195;Rurópolis;0,413854171;0,474802828;0,500159209;0,523577864;0,4974050001;
PA;1506203;Salinópolis;0,629399955;0,581483578;0,657515496;0,675408037;0,6917776449;
PA;1506302;Salvaterra;0,576049545;0,552821808;0,592499138;0,567729396;0,5523043609;
PA;1506351;Santa Bárbara do Pará;0,651297872;0,60120709;0,633645125;0,651538688;0,6043924791;
PA;1506401;Santa Cruz do Arari;0,524652899;0,527317415;0,587395999;0,576806395;0,5557478734;
PA;1506500;Santa Isabel do Pará;0,614103888;0,651750555;0,667951977;0,666710523;0,6734559955;
PA;1506559;Santa Luzia do Pará;0,563192221;0,54689466;0,583441334;0,585981406;0,5982522256;
PA;1506583;Santa Maria das Barreiras;0,468947833;0,451204103;0,448683227;0,484730345;0,5138719617;
PA;1506609;Santa Maria do Pará;0,533213473;0,642185891;0,676980774;0,7097227;0,7054069767;
PA;1506708;Santana do Araguaia;0,470196109;0,461649773;0,455966318;0,521188244;0,5280339174;
PA;1506807;Santarém;0,624520925;0,65095777;0,632256649;0,684306796;0,6844181501;
PA;1506906;Santarém Novo;0,635022885;0,683976325;0,70127324;0,680900411;0,6557329074;
PA;1507003;Santo Antônio do Tauá;0,624715036;0,638676685;0,622636835;0,657168265;0,6291908512;
PA;1507102;São Caetano de Odivelas;0,556101683;0,60831867;0,631050971;0,625227018;0,6389328706;
PA;1507151;São Domingos do Araguaia;0,516324291;0,451877379;0,480587509;0,555779147;0,5308121368;
PA;1507201;São Domingos do Capim;0,427677561;0,441958575;0,495643513;0,519723629;0,5139163179;
PA;1507300;São Félix do Xingu;0,449639574;0,478546398;0,481893468;0,495571104;0,5007212766;
PA;1507409;São Francisco do Pará;0,545051322;0,534211861;0,608249415;0,632967951;0,6045686316;
PA;1507458;São Geraldo do Araguaia;0,426790743;0,450336787;0,49241228;0,537648974;0,5267761417;
PA;1507466;São João da Ponta;0,522772302;0,562179809;0,56194429;0,628707476;0,6421976904;
PA;1507474;São João de Pirabas;0,540273554;0,610900905;0,640706961;0,633718973;0,611618683;
PA;1507508;São João do Araguaia;0,416420066;0,475248414;0,473287046;0,553363895;0,5553760725;
PA;1507607;São Miguel do Guamá;0,630024445;0,66321317;0,644253587;0,663967843;0,6598828973;
PA;1507706;São Sebastião da Boa Vista;0,486103204;0,522653509;0,512986988;0,54560228;0,5481328952;
PA;1507755;Sapucaia;0,468480338;0,53362422;0,488457781;0,521108291;0,595909218;
PA;1507805;Senador José Porfírio;0,509512724;0,566295086;0,556456499;0,606713885;0,6347138179;
PA;1507904;Soure;0,651738482;0,652396469;0,669774399;0,668547918;0,6336535435;
PA;1507953;Tailândia;0,510656408;0,561130664;0,578707171;0,614645046;0,5956487145;
PA;1507961;Terra Alta;0,547645307;0,518459619;0,593438883;0,597293387;0,6093202426;
PA;1507979;Terra Santa;0,485439514;0,512254578;0,600518765;0,641367671;0,6241773075;
PA;1508001;Tomé-Açu;0,490259946;0,474361651;0,49856944;0,551754359;0,5529399788;
PA;1508035;Tracuateua;0,459495604;0,487324895;0,510323676;0,533398911;0,5133534711;
PA;1508050;Trairão;0,319588059;0,466896983;0,509819988;0,543531112;0,5666921444;
PA;1508084;Tucumã;0,613026097;0,63968646;0,623136107;0,673724712;0,6734732409;
PA;1508100;Tucuruí;0,567806842;0,620880022;0,633109772;0,662495403;0,6677868443;
PA;1508126;Ulianópolis;0,585359605;0,601831083;0,597169356;0,608931723;0,5913913738;
PA;1508159;Uruará;0,381122372;0,42194793;0,475889818;0,53605106;0,5191338262;
PA;1508209;Vigia;0,602080589;0,585273926;0,677699384;0,699519396;0,6695658591;
PA;1508308;Viseu;0,392732028;0,440570452;0,472951078;0,493440371;0,498732323;
PA;1508357;Vitória do Xingu;0,478534635;0,642747436;0,613355078;0,692086977;0,6252359569;
PA;1508407;Xinguara;0,518678438;0,552427689;0,555199334;0,597293916;0,6249518076;
PA;1599919;Monsarás;;;;;;
PA;1599939;Vila Franca;;;;;;
PB;2500106;Água Branca;0,633554864;0,635128136;0,677966819;0,691853041;0,7154494201;
PB;2500205;Aguiar;0,678329514;0,690927853;0,658251982;0,682272107;0,6838098481;
PB;2500304;Alagoa Grande;0,583352839;0,589177327;0,55609846;0,606057325;0,6276442138;
PB;2500403;Alagoa Nova;0,573412991;0,629568166;0,650286722;0,65689865;0,6696822501;
PB;2500502;Alagoinha;0,539416917;0,612946824;0,589443029;0,622436725;0,6446782224;
PB;2500536;Alcantil;0,553341623;0,578702345;0,614902083;0,649562305;0,651228798;
PB;2500577;Algodão de Jandaíra;0,51269724;0,585133171;0,651391184;0,701305674;0,7051456449;
PB;2500601;Alhandra;0,538290619;0,536855111;0,554673423;0,558235836;0,5669566992;
PB;2500700;São João do Rio do Peixe;0,531544246;0,646575955;0,624697469;0,614480525;0,6429161893;
PB;2500734;Amparo;0,674354381;0,531856767;0,574954996;0,562306044;0,5853491807;
PB;2500775;Aparecida;0,542877991;0,620319339;0,580283111;0,617955147;0,6272365643;
PB;2500809;Araçagi;0,509859628;0,56502517;0,554691616;0,542323302;0,5645418183;
PB;2500908;Arara;0,52117129;0,574768568;0,566918731;0,563528341;0,6017168994;
PB;2501005;Araruna;0,631504266;0,609936428;0,578021613;0,660970695;0,6716384682;
PB;2501104;Areia;0,546962278;0,592339987;0,604998517;0,609845994;0,6519814297;
PB;2501153;Areia de Baraúnas;0,570045653;0,576084838;0,562480475;0,564465106;0,5655652789;
PB;2501203;Areial;0,647116866;0,705312082;0,704480333;0,751824363;0,7655561749;
PB;2501302;Aroeiras;0,522229095;0,561397765;0,449505678;0,525383872;0,5495985396;
PB;2501351;Assunção;0,622859028;0,744280021;0,756800187;0,759217797;0,7491690958;
PB;2501401;Baía da Traição;0,656087374;0,643506685;0,650964301;0,646714596;0,6362958218;
PB;2501500;Bananeiras;0,567448915;0,62486049;0,572365018;0,624349396;0,6590220111;
PB;2501534;Baraúna;0,606718886;0,669098714;0,679237488;0,660227499;0,6538905273;
PB;2501575;Barra de Santana;0,557532197;0,720033484;0,733642902;0,726398639;0,693839317;
PB;2501609;Barra de Santa Rosa;0,59265451;0,627398275;0,613433305;0,623632355;0,6491891841;
PB;2501708;Barra de São Miguel;0,531212685;0,594160108;0,572195058;0,568650613;0,5718740894;
PB;2501807;Bayeux;0,528542817;0,575274415;0,896610607;0,573386435;0,6111481385;
PB;2501906;Belém;0,587400849;0,603670822;0,637698688;0,609379691;0,6509002492;
PB;2502003;Belém do Brejo do Cruz;0,550239699;0,585057015;0,681747063;0,56636954;0,5750197515;
PB;2502052;Bernardino Batista;0,498683999;0,534037207;0,672400888;0,633327475;0,6651958762;
PB;2502102;Boa Ventura;0,538558001;0,481475209;0,529658669;0,539179379;0,5670561267;
PB;2502151;Boa Vista;0,636207299;0,672103732;0,651573362;0,64849251;0,6278302852;
PB;2502201;Bom Jesus;0,594279965;0,615541183;0,622115541;0,624433215;0,6355430262;
PB;2502300;Bom Sucesso;0,558208017;0,619935876;0,764104044;0,580943946;0,6015269668;
PB;2502409;Bonito de Santa Fé;0,510581615;0,616118432;0,543353307;0,662649572;0,6627932263;
PB;2502508;Boqueirão;0,535189693;0,594328874;0,649646551;0,62136317;0,6129204253;
PB;2502607;Igaracy;0,575662545;0,64178059;0,643813556;0,615406571;0,6724237509;
PB;2502706;Borborema;0,599801052;0,55038139;0,891961131;0,643352242;0,6544795194;
PB;2502805;Brejo do Cruz;0,544516817;0,616318119;0,495885567;0,667035534;0,6662888226;
PB;2502904;Brejo dos Santos;0,610734011;0,603130061;0,481094047;0,670480796;0,6851280656;
PB;2503001;Caaporã;0,602752861;0,544259848;0,585113265;0,615987552;0,6337360119;
PB;2503100;Cabaceiras;0,646284099;0,649841781;0,47776542;0,711365797;0,7376712869;
PB;2503209;Cabedelo;0,565162989;0,631821133;0,60491209;0,63019896;0,642103425;
PB;2503308;Cachoeira dos Índios;0,442650352;0,570831251;0,73452183;0,642186566;0,6537828944;
PB;2503407;Cacimba de Areia;0,620769107;0,563442094;0,81010182;0,604991114;0,6538742448;
PB;2503506;Cacimba de Dentro;0,573251297;0,581764718;0,624625923;0,5970298;0,6256849746;
PB;2503555;Cacimbas;0,559398585;0,65457666;0,591409305;0,610020374;0,6180592644;
PB;2503605;Caiçara;0,57435415;0,63411571;0,702569623;0,636379685;0,6766088629;
PB;2503704;Cajazeiras;0,613044348;0,659805115;0,830383985;0,671993709;0,6984678267;
PB;2503753;Cajazeirinhas;0,62505399;0,717610547;0,658154279;0,705620103;0,7577122237;
PB;2503803;Caldas Brandão;0,558218473;0,608838235;0,752252304;0,529619446;0,5433852911;
PB;2503902;Camalaú;0,541924586;0,675023136;0,673495512;0,657074163;0,6856488879;
PB;2504009;Campina Grande;0,640290944;0,636041794;0,566475703;0,676209372;0,6905110201;
PB;2504033;Capim;0,568889744;0,640735751;0,739233066;0,668870813;0,6660283123;
PB;2504074;Caraúbas;0,55960981;0,653939759;0,721757949;0,658167448;0,6746827394;
PB;2504108;Carrapateira;0,569130976;0,566149298;0,736368673;0,677878568;0,7090679915;
PB;2504157;Casserengue;0,475622897;0,519872173;0,600890987;0,580400214;0,6205381688;
PB;2504207;Catingueira;0,569813272;0,646296401;0,847574776;0,628298691;0,6288847746;
PB;2504306;Catolé do Rocha;0,629262688;0,645062926;0,532309707;0,723230013;0,714563924;
PB;2504355;Caturité;0,634645837;0,648941222;0,497898444;0,646988458;0,6710531427;
PB;2504405;Conceição;0,631159136;0,566243329;0,652558898;0,530826445;0,5449777265;
PB;2504504;Condado;0,588650628;0,694604431;0,643586346;0,730893585;0,7051767986;
PB;2504603;Conde;0,574810651;0,637713048;0,681421748;0,687708135;0,702346027;
PB;2504702;Congo;0,56576554;0,717776224;0,5521529;0,696012824;0,6882406984;
PB;2504801;Coremas;0,543306943;0,563340808;0,659787529;0,586954299;0,5354827994;
PB;2504850;Coxixola;0,550092499;0,664048877;0,679541589;0,666084081;0,6622798203;
PB;2504900;Cruz do Espírito Santo;0,507433738;0,527404;0,652624932;0,522345883;0,5432619144;
PB;2505006;Cubati;0,613600247;0,651164922;0,822484158;0,660470177;0,6761421927;
PB;2505105;Cuité;0,525477533;0,598170792;0,711193414;0,654492292;0,6610945719;
PB;2505204;Cuitegi;0,471440595;0,539485028;0,614750127;0,574984159;0,608684706;
PB;2505238;Cuité de Mamanguape;0,571595082;0,562630621;0,608172239;0,597596768;0,623608582;
PB;2505279;Curral de Cima;0,529257255;0,602542322;0,767293365;0,610852007;0,6172498426;
PB;2505303;Curral Velho;0,601316953;0,739827106;0,551223033;0,752743687;0,752541574;
PB;2505352;Damião;0,52298686;0,586269058;0,612695338;0,614159385;0,6478171214;
PB;2505402;Desterro;0,667806434;0,680388708;0,834902261;0,733395918;0,7494189822;
PB;2505501;Vista Serrana;0,4590885;0,46005171;0,471253101;0,549954438;0,5935745021;
PB;2505600;Diamante;0,555019975;0,627040388;0,8373217;0,640041846;0,6935556259;
PB;2505709;Dona Inês;0,485825846;0,593574995;0,679784393;0,647137845;0,6637437591;
PB;2505808;Duas Estradas;0,569076306;0,664434722;0,782298423;0,558969444;0,686408417;
PB;2505907;Emas;0,566896661;0,568858964;0,761762492;0,585595507;0,6091359568;
PB;2506004;Esperança;0,617431108;0,628463618;0,76108012;0,669075687;0,6758269253;
PB;2506103;Fagundes;0,586875676;0,646092472;0,577209757;0,629546681;0,6513962931;
PB;2506202;Frei Martinho;0,539328355;0,529682468;0,651123336;0,643386149;0,6630174201;
PB;2506251;Gado Bravo;0,584765188;0,594661132;0,9575;0,548772547;0,558961183;
PB;2506301;Guarabira;0,657348687;0,665529562;0,663025273;0,659339443;0,6820817548;
PB;2506400;Gurinhém;0,521947454;0,505052817;0,534580971;0,552314523;0,6170913863;
PB;2506509;Gurjão;0,693109219;0,73023353;0,696580303;0,719728246;0,7534116931;
PB;2506608;Ibiara;0,603329422;0,662911344;0,636668611;0,623004371;0,6543723099;
PB;2506707;Imaculada;0,514461465;0,555827929;0,693595514;0,612786351;0,6133016379;
PB;2506806;Ingá;0,549516057;0,575802789;0,690331332;0,513563553;0,5664917304;
PB;2506905;Itabaiana;0,627682302;0,628345248;0,676795897;0,633161992;0,6792201674;
PB;2507002;Itaporanga;0,65483631;0,658437829;0,644196837;0,645764748;0,6577314638;
PB;2507101;Itapororoca;0,465820425;0,575879044;0,581809382;0,609574878;0,6211680661;
PB;2507200;Itatuba;0,516705043;0,561910447;0,564287071;0,522881274;0,5456149712;
PB;2507309;Jacaraú;0,544181621;0,581785978;0,682730693;0,720466502;0,7492758868;
PB;2507408;Jericó;0,543469855;0,56725318;0,590805832;0,658367091;0,6788345251;
PB;2507507;João Pessoa;0,627602886;0,627402351;0,666351456;0,686467802;0,6905386552;
PB;2507606;Juarez Távora;0,586286558;0,614160197;0,666063175;0,638919908;0,6826066147;
PB;2507705;Juazeirinho;0,484202482;0,581239064;0,611887148;0,59806765;0,5863410532;
PB;2507804;Junco do Seridó;0,553534391;0,57100011;0,583472499;0,587002137;0,6223195059;
PB;2507903;Juripiranga;0,555382009;0,569578446;0,579299086;0,619324765;0,652817459;
PB;2508000;Juru;0,577898354;0,638132833;0,652198183;0,655167817;0,6770234391;
PB;2508109;Lagoa;0,520895285;0,599571478;0,572876049;0,615714755;0,6407315074;
PB;2508208;Lagoa de Dentro;0,527380463;0,577623814;0,584646901;0,595541802;0,6146340998;
PB;2508307;Lagoa Seca;0,682447904;0,668410636;0,678577702;0,6898625;0,7194784628;
PB;2508406;Lastro;0,568588521;0,537628887;0,554903255;0,575301293;0,608623835;
PB;2508505;Livramento;0,557043984;0,599480971;0,650767421;0,672807679;0,737159443;
